Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
9/7/2016,MountGambier,7.7,20.7,0,NA,NA,NNE,50,NE,NNE,22,28,73,100,1026.2,1020.6,NA,1,14.2,20.1,No,No
9/8/2016,MountGambier,14.2,14.8,0,NA,NA,NNE,65,N,NNW,22,17,78,97,1015.2,1012,8,8,14.8,13.6,No,Yes
9/9/2016,MountGambier,11.2,15.1,53.2,NA,NA,SW,43,SW,WSW,24,28,82,91,1009.8,1011.7,8,8,13.8,11.8,Yes,Yes
9/10/2016,MountGambier,5.8,14.1,4,NA,NA,W,35,WSW,W,19,17,78,64,1019.5,1018.2,8,8,11.5,13,Yes,No
9/11/2016,MountGambier,8.4,15.5,0.8,NA,NA,W,39,NNW,WSW,20,26,94,83,1018.7,1017.2,8,8,11.4,12.2,No,Yes
9/12/2016,MountGambier,5.2,14.2,2.8,NA,NA,SSE,30,S,SSE,9,17,64,71,1022,1020.9,NA,8,11.5,10.9,Yes,No
9/13/2016,MountGambier,6.7,13,0,NA,NA,ESE,37,SE,ESE,20,17,86,77,1017.9,1012.4,8,8,9.4,12,No,Yes
9/14/2016,MountGambier,8.7,11.4,4.6,NA,NA,S,37,N,WNW,11,13,91,95,1003.4,1001.6,8,8,9.5,10.3,Yes,Yes
9/15/2016,MountGambier,7.8,13.2,4.8,NA,NA,SSW,43,SW,SW,28,22,78,72,1012,1012.8,8,6,11.1,11.2,Yes,No
9/16/2016,MountGambier,7.3,15.8,0,NA,NA,NW,44,N,NW,19,26,85,63,1016.4,1014.8,8,5,11.1,13.9,No,No
9/17/2016,MountGambier,6.8,19,0.2,NA,NA,NNW,50,N,NW,22,17,60,60,1013.3,1011,8,8,13.5,15.8,No,Yes
9/18/2016,MountGambier,6,13.6,2.6,NA,NA,SSW,44,SW,SSW,24,28,76,69,1014.8,1013.5,8,8,8.8,10.8,Yes,No
9/19/2016,MountGambier,5,14.1,0,NA,NA,N,39,NNW,N,19,24,70,58,1013.5,1009.8,7,8,10.4,12.7,No,No
9/20/2016,MountGambier,7.1,17.9,0,NA,NA,N,39,N,NNW,20,17,60,56,1010.3,1008.3,8,8,14,16.8,No,Yes
9/21/2016,MountGambier,9.3,12.7,4,NA,NA,SSW,52,S,SSW,31,30,91,63,1013.5,1014.9,8,8,10.7,11.4,Yes,No
9/22/2016,MountGambier,5.6,13.8,0.6,NA,NA,S,28,SSE,S,13,19,66,57,1021,1019.5,8,7,10.4,12.3,No,No
9/23/2016,MountGambier,1.1,15.9,0,NA,NA,NE,28,NE,N,20,15,75,56,1016,1010.3,NA,7,10.9,14.8,No,No
9/24/2016,MountGambier,7.2,14.3,0,NA,NA,W,48,N,N,24,20,70,96,1004.9,1002.2,8,8,12.4,12.5,No,Yes
9/25/2016,MountGambier,3.6,14.7,11.8,NA,NA,W,37,W,WSW,24,19,61,52,1013.2,1011.9,4,NA,11.5,13.8,Yes,No
9/26/2016,MountGambier,5.8,14.6,0,NA,NA,NW,59,N,NW,22,20,70,74,1010.4,1007.8,4,6,12.8,11.4,No,Yes
